beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
4.00,2.00,3325.00,sqft,6000.00,sqft,98199,1650000.00
4.00,3.00,3335.00,sqft,6000.00,sqft,98115,1325000.00
4.00,3.50,3360.00,sqft,6000.00,sqft,98136,1575000.00
3.00,3.50,1930.00,sqft,6000.00,sqft,98125,600000.00
3.00,2.00,1680.00,sqft,6000.00,sqft,98136,910000.00
2.00,1.00,1080.00,sqft,6000.00,sqft,98199,950000.00
2.00,1.00,1080.00,sqft,6000.00,sqft,98118,650000.00
4.00,1.00,1340.00,sqft,6000.00,sqft,98144,685000.00
3.00,2.00,2020.00,sqft,6000.00,sqft,98119,900000.00
2.00,1.00,2060.00,sqft,6000.00,sqft,98106,525000.00
3.00,2.00,1250.00,sqft,6000.00,sqft,98106,625000.00
2.00,2.00,881.00,sqft,6000.00,sqft,98103,550000.00
4.00,2.00,1830.00,sqft,6000.00,sqft,98136,950000.00
5.00,2.00,2100.00,sqft,6000.00,sqft,98108,599950.00
4.00,2.50,3400.00,sqft,6000.00,sqft,98112,2100000.00
3.00,1.00,1210.00,sqft,6000.00,sqft,98119,795000.00
2.00,1.50,1480.00,sqft,6000.00,sqft,98118,948800.00
4.00,1.00,1740.00,sqft,6000.00,sqft,98119,925000.00
5.00,3.50,3880.00,sqft,6000.00,sqft,98112,2975000.00
2.00,1.00,850.00,sqft,6000.00,sqft,98118,580000.00
4.00,4.00,2120.00,sqft,6000.00,sqft,98136,900000.00
4.00,2.00,1550.00,sqft,6000.00,sqft,98103,1325000.00
5.00,4.00,2030.00,sqft,6000.00,sqft,98144,670000.00
5.00,3.00,2020.00,sqft,6000.00,sqft,98119,899000.00
4.00,2.00,2480.00,sqft,5996.00,sqft,98122,825000.00
3.00,3.00,3120.00,sqft,5996.00,sqft,98199,1350000.00
3.00,1.00,1000.00,sqft,5960.00,sqft,98118,710000.00
2.00,2.00,2220.00,sqft,5950.00,sqft,98126,551000.00
4.00,2.00,2230.00,sqft,5940.00,sqft,98125,925000.00
2.00,1.00,770.00,sqft,5896.00,sqft,98126,560000.00
4.00,3.50,2860.00,sqft,5880.00,sqft,98199,1657500.00
5.00,3.50,5020.00,sqft,5880.00,sqft,98126,1550000.00
2.00,1.00,790.00,sqft,5877.00,sqft,98178,532500.00
3.00,1.00,1460.00,sqft,5856.00,sqft,98115,880000.00
3.00,2.00,1830.00,sqft,5850.00,sqft,98126,835000.00
4.00,3.00,1810.00,sqft,5850.00,sqft,98116,1118000.00
3.00,1.00,1220.00,sqft,5850.00,sqft,98116,680000.00
3.00,2.00,2480.00,sqft,5829.00,sqft,98126,800000.00
2.00,2.00,2360.00,sqft,5800.00,sqft,98199,1460000.00
3.00,2.00,2980.00,sqft,5800.00,sqft,98115,1415000.00
3.00,1.00,1200.00,sqft,5786.00,sqft,98105,1099950.00
4.00,2.00,2220.00,sqft,5775.00,sqft,98144,740000.00
2.00,1.00,770.00,sqft,5772.00,sqft,98106,490000.00
3.00,2.50,1790.00,sqft,5761.00,sqft,98106,590000.00
3.00,1.50,1172.00,sqft,5760.00,sqft,98122,685000.00
3.00,3.00,1620.00,sqft,5760.00,sqft,98136,1058000.00
3.00,2.50,2490.00,sqft,5757.00,sqft,98103,935625.00
5.00,3.00,3130.00,sqft,5750.00,sqft,98122,2095000.00
4.00,3.00,3320.00,sqft,5750.00,sqft,98116,750000.00
3.00,2.00,1080.00,sqft,5750.00,sqft,98116,875000.00
3.00,2.00,1500.00,sqft,5750.00,sqft,98136,770000.00
3.00,2.00,2100.00,sqft,5750.00,sqft,98116,1325000.00
1.00,1.00,750.00,sqft,5750.00,sqft,98116,725000.00
4.00,2.00,2840.00,sqft,5750.00,sqft,98126,1175000.00
4.00,2.50,2360.00,sqft,5725.00,sqft,98199,1750000.00
4.00,2.50,2730.00,sqft,5724.00,sqft,98146,1175000.00
4.00,3.00,3110.00,sqft,5715.00,sqft,98119,1500000.00
2.00,1.00,1460.00,sqft,5700.00,sqft,98115,400000.00
4.00,4.00,2300.00,sqft,5700.00,sqft,98115,1210000.00
5.00,3.00,2700.00,sqft,5670.00,sqft,98119,1025000.00
2.00,1.00,1060.00,sqft,5666.00,sqft,98108,875000.00
4.00,1.00,1150.00,sqft,5665.00,sqft,98118,575000.00
6.00,4.00,3280.00,sqft,5650.00,sqft,98118,999950.00
3.00,2.00,2080.00,sqft,5650.00,sqft,98178,738000.00
1.00,1.00,1270.00,sqft,5640.00,sqft,98108,915000.00
3.00,2.00,2000.00,sqft,5632.00,sqft,98115,925000.00
4.00,5.00,2240.00,sqft,5624.00,sqft,98108,965000.00
4.00,3.00,2740.00,sqft,5616.00,sqft,98115,1220000.00
4.00,3.50,3240.00,sqft,5600.00,sqft,98105,2675000.00
4.00,2.00,1820.00,sqft,5600.00,sqft,98117,760000.00
4.00,3.00,2668.00,sqft,5589.00,sqft,98116,1213000.00
4.00,2.50,2750.00,sqft,5589.00,sqft,98112,1680000.00
4.00,3.00,2200.00,sqft,5586.00,sqft,98118,874999.00
6.00,3.50,2430.00,sqft,5580.00,sqft,98108,870000.00
4.00,3.00,2949.00,sqft,5580.00,sqft,98103,1610000.00
2.00,1.00,770.00,sqft,5569.00,sqft,98115,640000.00
4.00,1.50,3260.00,sqft,5568.00,sqft,98199,1695000.00
3.00,4.00,2400.00,sqft,5563.00,sqft,98122,1460000.00
4.00,2.00,2390.00,sqft,5535.00,sqft,98105,1195000.00
3.00,2.00,2020.00,sqft,5525.00,sqft,98117,1625000.00
4.00,5.50,3000.00,sqft,5520.00,sqft,98126,1484000.00
5.00,3.50,3700.00,sqft,5520.00,sqft,98119,2050000.00
3.00,2.00,1120.00,sqft,5518.00,sqft,98106,600000.00
4.00,1.50,3200.00,sqft,5508.00,sqft,98117,1290000.00
3.00,7.00,2190.00,sqft,5504.00,sqft,98112,1868000.00
2.00,2.00,1092.00,sqft,5500.00,sqft,98122,829000.00
6.00,5.00,3620.00,sqft,5500.00,sqft,98119,1420000.00
2.00,2.50,1088.00,sqft,5500.00,sqft,98107,835000.00
4.00,2.00,1595.00,sqft,5500.00,sqft,98118,525000.00
4.00,2.50,3190.00,sqft,5500.00,sqft,98102,1820000.00
2.00,1.50,1127.00,sqft,5500.00,sqft,98102,1008000.00
2.00,2.50,1103.00,sqft,5500.00,sqft,98107,780000.00
4.00,2.00,2425.00,sqft,5500.00,sqft,98105,1295000.00
3.00,1.00,1670.00,sqft,5500.00,sqft,98136,731000.00
2.00,1.50,1670.00,sqft,5500.00,sqft,98117,1025000.00
1.00,3.00,1730.00,sqft,5500.00,sqft,98118,750000.00
4.00,1.50,2380.00,sqft,5500.00,sqft,98117,937000.00
1.00,1.00,956.00,sqft,5480.00,sqft,98104,870000.00
2.00,2.00,1371.00,sqft,5480.00,sqft,98116,1295000.00
4.00,2.00,2510.00,sqft,5460.00,sqft,98115,1025000.00
2.00,2.00,1140.00,sqft,5445.00,sqft,98133,665000.00
5.00,3.50,2387.00,sqft,5445.00,sqft,98133,1125000.00
2.00,1.00,1110.00,sqft,5413.00,sqft,98125,820000.00
4.00,2.00,2400.00,sqft,5400.00,sqft,98119,1385000.00
3.00,2.00,1670.00,sqft,5400.00,sqft,98118,485000.00
2.00,2.00,724.00,sqft,5400.00,sqft,98103,430000.00
4.00,1.50,3030.00,sqft,5400.00,sqft,98112,1500000.00
4.00,4.00,2030.00,sqft,5400.00,sqft,98115,1349000.00
4.00,3.50,4194.00,sqft,5400.00,sqft,98112,3500000.00
3.00,1.00,860.00,sqft,5400.00,sqft,98125,699000.00
3.00,2.00,1240.00,sqft,5400.00,sqft,98117,705000.00
2.00,2.00,1288.00,sqft,5365.00,sqft,98133,755000.00
4.00,3.00,2190.00,sqft,5350.00,sqft,98115,1490000.00
3.00,2.00,2950.00,sqft,5350.00,sqft,98199,1500000.00
4.00,2.00,1900.00,sqft,5350.00,sqft,98118,670000.00
3.00,3.50,2899.00,sqft,5346.00,sqft,98199,1800000.00
3.00,2.00,1700.00,sqft,5346.00,sqft,98115,1150000.00
9.00,5.00,3940.00,sqft,5303.00,sqft,98133,1089000.00
4.00,2.00,1350.00,sqft,5300.00,sqft,98106,700000.00
6.00,2.00,2230.00,sqft,5300.00,sqft,98118,700000.00
3.00,3.00,1440.00,sqft,5300.00,sqft,98144,1050000.00
4.00,4.00,2550.00,sqft,5300.00,sqft,98117,1550000.00
5.00,3.00,2370.00,sqft,5292.00,sqft,98118,800000.00
3.00,2.00,1060.00,sqft,5290.00,sqft,98106,599000.00
4.00,2.00,1870.00,sqft,5280.00,sqft,98199,1040000.00
3.00,2.00,2060.00,sqft,5280.00,sqft,98126,756110.00
3.00,2.00,2330.00,sqft,5280.00,sqft,98103,1098000.00
4.00,2.00,3040.00,sqft,5272.00,sqft,98199,1665500.00
5.00,3.50,3710.00,sqft,5259.00,sqft,98199,2525000.00
2.00,1.00,770.00,sqft,5250.00,sqft,98133,530000.00
4.00,3.00,2250.00,sqft,5250.00,sqft,98115,1150000.00
2.00,2.00,2170.00,sqft,5250.00,sqft,98116,893000.00
1.00,1.00,727.00,sqft,5250.00,sqft,98103,445000.00
2.00,2.50,1159.00,sqft,5250.00,sqft,98122,885000.00
5.00,3.00,2970.00,sqft,5250.00,sqft,98117,1225000.00
2.00,2.00,1094.00,sqft,5250.00,sqft,98122,675000.00
4.00,2.00,2080.00,sqft,5250.00,sqft,98116,1098000.00
4.00,2.00,2660.00,sqft,5243.00,sqft,98115,1357000.00
4.00,1.00,1420.00,sqft,5240.00,sqft,98178,445000.00
4.00,2.50,2240.00,sqft,5229.00,sqft,98117,1050000.00
5.00,2.00,1830.00,sqft,5220.00,sqft,98118,665000.00
5.00,4.00,4490.00,sqft,5220.00,sqft,98122,1150000.00
3.00,3.50,2996.00,sqft,5219.00,sqft,98115,2050000.00
5.00,1.50,2560.00,sqft,5200.00,sqft,98199,1330000.00
5.00,4.00,4210.00,sqft,5200.00,sqft,98105,2625000.00
5.00,4.00,3030.00,sqft,5200.00,sqft,98108,1250000.00
4.00,3.00,1960.00,sqft,5200.00,sqft,98136,1270000.00
3.00,1.00,890.00,sqft,5200.00,sqft,98126,575000.00
3.00,2.50,2910.00,sqft,5200.00,sqft,98109,1975000.00
3.00,1.50,1640.00,sqft,5196.00,sqft,98103,1060000.00
3.00,2.00,2840.00,sqft,5196.00,sqft,98199,1400000.00
3.00,2.00,2760.00,sqft,5195.00,sqft,98119,1256000.00
1.00,2.00,1250.00,sqft,5183.00,sqft,98116,160000.00
4.00,3.00,3800.00,sqft,5175.00,sqft,98199,1950000.00
4.00,2.00,1910.00,sqft,5166.00,sqft,98106,685000.00
3.00,2.50,2080.00,sqft,5160.00,sqft,98116,1200000.00
6.00,3.50,3785.00,sqft,5150.00,sqft,98117,3150000.00
4.00,3.50,2627.00,sqft,5150.00,sqft,98118,1650000.00
2.00,1.00,730.00,sqft,5150.00,sqft,98106,545000.00
4.00,2.50,2200.00,sqft,5146.00,sqft,98106,825000.00
3.00,2.00,1640.00,sqft,5145.00,sqft,98106,700000.00
2.00,1.50,1060.00,sqft,5137.00,sqft,98118,530000.00
4.00,3.00,2190.00,sqft,5136.00,sqft,98126,860000.00
5.00,3.00,2510.00,sqft,5130.00,sqft,98103,910000.00
2.00,1.00,970.00,sqft,5130.00,sqft,98116,600000.00
4.00,5.00,2030.00,sqft,5124.00,sqft,98106,700000.00
3.00,1.50,1340.00,sqft,5120.00,sqft,98106,615000.00
5.00,2.00,2340.00,sqft,5120.00,sqft,98106,613000.00
3.00,2.50,2120.00,sqft,5120.00,sqft,98122,1365000.00
3.00,3.50,2480.00,sqft,5118.00,sqft,98122,1500000.00
2.00,1.00,820.00,sqft,5100.00,sqft,98118,490000.00
3.00,2.50,2600.00,sqft,5100.00,sqft,98117,1148000.00
4.00,3.00,2660.00,sqft,5100.00,sqft,98117,1360000.00
3.00,1.00,2160.00,sqft,5100.00,sqft,98115,920000.00
4.00,2.00,1810.00,sqft,5100.00,sqft,98117,945000.00
1.00,1.00,830.00,sqft,5100.00,sqft,98103,695000.00
4.00,2.00,2180.00,sqft,5100.00,sqft,98115,838000.00
1.00,1.00,820.00,sqft,5100.00,sqft,98118,530000.00
5.00,3.00,2480.00,sqft,5100.00,sqft,98117,1135000.00
3.00,2.00,1770.00,sqft,5100.00,sqft,98118,660000.00
3.00,2.00,1640.00,sqft,5100.00,sqft,98136,900000.00
5.00,4.50,3370.00,sqft,5100.00,sqft,98117,1975000.00
4.00,2.00,2060.00,sqft,5080.00,sqft,98115,812500.00
3.00,4.00,2360.00,sqft,5080.00,sqft,98115,1325000.00
3.00,1.50,2160.00,sqft,5080.00,sqft,98117,915000.00
2.00,1.00,1915.00,sqft,5077.00,sqft,98133,725000.00
3.00,2.00,1650.00,sqft,5075.00,sqft,98126,750000.00
4.00,1.00,1810.00,sqft,5073.00,sqft,98126,655500.00
3.00,2.00,1560.00,sqft,5056.00,sqft,98116,965000.00
7.00,3.50,4530.00,sqft,5047.00,sqft,98103,2950000.00
5.00,3.00,2030.00,sqft,5046.00,sqft,98144,905000.00
4.00,2.00,2240.00,sqft,5043.00,sqft,98106,750000.00
3.00,2.00,1580.00,sqft,5040.00,sqft,98116,1000000.00
4.00,3.50,2900.00,sqft,5040.00,sqft,98107,1600000.00
2.00,1.00,1240.00,sqft,5038.00,sqft,98126,750000.00
2.00,1.50,1690.00,sqft,5027.00,sqft,98118,779000.00
4.00,3.00,2340.00,sqft,5023.00,sqft,98108,780000.00
9.00,9.00,3780.00,sqft,5020.00,sqft,98119,1210000.00
2.00,1.00,1720.00,sqft,5017.00,sqft,98118,575000.00
4.00,3.50,3070.00,sqft,5016.00,sqft,98144,1900000.00
6.00,4.00,2310.00,sqft,5012.00,sqft,98108,849000.00
2.00,1.00,711.00,sqft,5011.00,sqft,98107,485000.00
3.00,2.00,1460.00,sqft,5005.00,sqft,98106,583000.00
4.00,3.00,1780.00,sqft,5005.00,sqft,98117,1184000.00
4.00,2.50,2320.00,sqft,5001.00,sqft,98118,820000.00
3.00,2.00,3140.00,sqft,5000.00,sqft,98117,1219700.00
3.00,2.00,1960.00,sqft,5000.00,sqft,98105,950000.00
3.00,1.00,2200.00,sqft,5000.00,sqft,98105,1250000.00
3.00,2.00,1720.00,sqft,5000.00,sqft,98199,855000.00
4.00,2.50,2550.00,sqft,5000.00,sqft,98115,1560000.00
4.00,1.50,2080.00,sqft,5000.00,sqft,98116,950000.00
2.00,2.00,1840.00,sqft,5000.00,sqft,98122,1200000.00
5.00,4.00,2810.00,sqft,5000.00,sqft,98103,1295000.00
5.00,3.00,3750.00,sqft,5000.00,sqft,98107,1580000.00
2.00,2.00,1720.00,sqft,5000.00,sqft,98116,985000.00
4.00,2.00,2370.00,sqft,5000.00,sqft,98115,1350000.00
3.00,3.00,1940.00,sqft,5000.00,sqft,98199,450000.00
3.00,2.50,2304.00,sqft,5000.00,sqft,98117,1100000.00
4.00,4.50,2440.00,sqft,5000.00,sqft,98105,1900000.00
3.00,3.00,2380.00,sqft,5000.00,sqft,98136,1230000.00
4.00,4.00,3360.00,sqft,5000.00,sqft,98107,1200000.00
2.00,2.50,1580.00,sqft,5000.00,sqft,98106,699000.00
4.00,2.50,2380.00,sqft,5000.00,sqft,98105,1900000.00
3.00,2.00,2050.00,sqft,5000.00,sqft,98109,1265000.00
2.00,1.50,805.00,sqft,5000.00,sqft,98107,500000.00
3.00,1.00,1220.00,sqft,5000.00,sqft,98107,750000.00
3.00,2.00,1516.00,sqft,5000.00,sqft,98116,1150000.00
5.00,4.00,2470.00,sqft,5000.00,sqft,98118,1005000.00
4.00,3.00,1400.00,sqft,5000.00,sqft,98107,1000000.00
2.00,1.00,2530.00,sqft,5000.00,sqft,98122,700000.00
3.00,2.00,2740.00,sqft,5000.00,sqft,98144,1278500.00
4.00,2.50,1806.00,sqft,5000.00,sqft,98118,745000.00
2.00,1.00,2520.00,sqft,5000.00,sqft,98122,810000.00
3.00,2.50,1980.00,sqft,5000.00,sqft,98146,675000.00
4.00,4.50,4790.00,sqft,5000.00,sqft,98144,1750000.00
2.00,1.00,1230.00,sqft,5000.00,sqft,98144,326000.00
4.00,3.50,4006.00,sqft,5000.00,sqft,98199,2940000.00
3.00,2.00,1480.00,sqft,5000.00,sqft,98116,780000.00
4.00,2.00,2352.00,sqft,5000.00,sqft,98199,1450000.00
2.00,1.00,1201.00,sqft,5000.00,sqft,98126,605000.00
3.00,1.00,4018.00,sqft,5000.00,sqft,98122,517500.00
2.00,1.00,1410.00,sqft,5000.00,sqft,98118,590000.00
3.00,2.00,1680.00,sqft,5000.00,sqft,98199,1087500.00
4.00,3.50,4002.00,sqft,5000.00,sqft,98116,2100000.00
3.00,1.00,1780.00,sqft,5000.00,sqft,98144,975000.00
3.00,2.50,3560.00,sqft,5000.00,sqft,98116,1575000.00
1.00,1.00,522.00,sqft,5000.00,sqft,98107,325000.00
4.00,3.50,2950.00,sqft,5000.00,sqft,98105,1800000.00
3.00,1.50,1730.00,sqft,5000.00,sqft,98115,870000.00
4.00,3.00,2040.00,sqft,5000.00,sqft,98117,1410000.00
3.00,3.00,1390.00,sqft,5000.00,sqft,98126,1095000.00
2.00,2.00,995.00,sqft,5000.00,sqft,98144,850000.00
3.00,3.00,1740.00,sqft,5000.00,sqft,98136,1010000.00
3.00,2.50,2090.00,sqft,5000.00,sqft,98108,820000.00
2.00,2.00,804.00,sqft,5000.00,sqft,98107,465600.00
2.00,1.50,1978.00,sqft,5000.00,sqft,98118,858000.00
4.00,2.00,1780.00,sqft,5000.00,sqft,98117,1181500.00
3.00,1.50,1240.00,sqft,5000.00,sqft,98117,850000.00
4.00,2.00,2880.00,sqft,5000.00,sqft,98103,1485000.00
6.00,7.00,4641.00,sqft,5000.00,sqft,98112,1850000.00
5.00,3.50,3410.00,sqft,5000.00,sqft,98115,1725000.00
3.00,3.50,1740.00,sqft,5000.00,sqft,98103,1020000.00
4.00,2.00,1460.00,sqft,5000.00,sqft,98116,787500.00
3.00,2.00,2190.00,sqft,5000.00,sqft,98106,840000.00
4.00,2.50,3198.00,sqft,5000.00,sqft,98103,1712000.00
4.00,2.00,3542.00,sqft,5000.00,sqft,98144,1150000.00
2.00,1.00,648.00,sqft,4997.00,sqft,98107,430000.00
5.00,2.00,2567.00,sqft,4995.00,sqft,98144,1550000.00
4.00,5.50,2867.00,sqft,4983.00,sqft,98115,1750000.00
4.00,2.00,1630.00,sqft,4982.00,sqft,98116,942000.00
5.00,3.00,2450.00,sqft,4980.00,sqft,98144,1270000.00
14.00,5.00,3884.00,sqft,4968.00,sqft,98106,1300000.00
4.00,2.00,1545.00,sqft,4963.00,sqft,98103,1253000.00
3.00,2.00,1560.00,sqft,4960.00,sqft,98106,799000.00
2.00,2.00,2720.00,sqft,4958.00,sqft,98144,720000.00
4.00,2.00,1750.00,sqft,4950.00,sqft,98105,1025000.00
3.00,2.00,2410.00,sqft,4950.00,sqft,98199,1083000.00
4.00,2.00,2140.00,sqft,4947.00,sqft,98136,960000.00
3.00,3.50,2188.00,sqft,4920.00,sqft,98112,1700000.00
2.00,1.00,1140.00,sqft,4920.00,sqft,98106,528000.00
4.00,4.00,2850.00,sqft,4900.00,sqft,98105,1755000.00
1.00,1.00,630.00,sqft,4895.00,sqft,98133,255000.00
3.00,2.00,2370.00,sqft,4865.00,sqft,98126,1200000.00
4.00,2.00,2100.00,sqft,4864.00,sqft,98117,950000.00
3.00,2.00,2130.00,sqft,4850.00,sqft,98107,990200.00
3.00,1.00,940.00,sqft,4850.00,sqft,98136,500000.00
3.00,2.00,1940.00,sqft,4850.00,sqft,98107,895000.00
2.00,2.00,1144.00,sqft,4850.00,sqft,98107,769950.00
4.00,1.00,2080.00,sqft,4845.00,sqft,98117,800000.00
3.00,1.00,1240.00,sqft,4842.00,sqft,98118,531000.00
3.00,2.00,1676.00,sqft,4828.00,sqft,98115,840000.00
3.00,2.50,1710.00,sqft,4814.00,sqft,98115,1190000.00
3.00,2.50,1396.00,sqft,4800.00,sqft,98136,780000.00
4.00,3.50,2980.00,sqft,4800.00,sqft,98112,2400000.00
2.00,1.00,1660.00,sqft,4800.00,sqft,98109,850000.00
3.00,3.00,1120.00,sqft,4800.00,sqft,98168,525000.00
3.00,1.50,1780.00,sqft,4800.00,sqft,98126,650000.00
2.00,1.50,901.00,sqft,4800.00,sqft,98107,599000.00
2.00,1.00,910.00,sqft,4800.00,sqft,98117,825000.00
3.00,2.50,2740.00,sqft,4800.00,sqft,98117,1375000.00
2.00,1.50,1540.00,sqft,4800.00,sqft,98106,751000.00
2.00,1.00,860.00,sqft,4800.00,sqft,98108,565000.00
3.00,1.50,2000.00,sqft,4800.00,sqft,98112,1400000.00
2.00,2.00,2470.00,sqft,4800.00,sqft,98102,1525000.00
2.00,1.00,990.00,sqft,4800.00,sqft,98108,455000.00
4.00,2.00,2570.00,sqft,4800.00,sqft,98103,1495000.00
3.00,1.50,2200.00,sqft,4800.00,sqft,98117,860000.00
2.00,1.00,1770.00,sqft,4800.00,sqft,98103,926000.00
4.00,2.00,2820.00,sqft,4764.00,sqft,98117,1441000.00
3.00,2.00,1237.00,sqft,4760.00,sqft,98106,747250.00
5.00,6.00,6990.00,sqft,4703.00,sqft,98103,1880000.00
4.00,2.00,2540.00,sqft,4700.00,sqft,98107,1280000.00
4.00,2.00,2900.00,sqft,4700.00,sqft,98144,1275000.00
4.00,2.00,1760.00,sqft,4700.00,sqft,98115,999950.00
4.00,3.50,3240.00,sqft,4680.00,sqft,98112,1995000.00
9.00,5.00,3590.00,sqft,4680.00,sqft,98117,1100400.00
2.00,1.00,770.00,sqft,4672.00,sqft,98106,560000.00
1.00,1.00,580.00,sqft,4657.00,sqft,98102,395000.00
3.00,2.00,1996.00,sqft,4656.00,sqft,98117,986500.00
4.00,3.00,1180.00,sqft,4650.00,sqft,98117,956300.00
3.00,2.00,1611.00,sqft,4648.00,sqft,98107,915000.00
2.00,1.00,1000.00,sqft,4640.00,sqft,98116,793000.00
5.00,3.50,3220.00,sqft,4640.00,sqft,98103,820000.00
4.00,3.00,2320.00,sqft,4640.00,sqft,98112,1472500.00
4.00,3.00,2380.00,sqft,4635.00,sqft,98115,1399999.00
2.00,1.00,1760.00,sqft,4625.00,sqft,98116,715000.00
2.00,1.00,1480.00,sqft,4600.00,sqft,98126,720000.00
4.00,2.50,3060.00,sqft,4590.00,sqft,98115,1450000.00
3.00,2.00,1460.00,sqft,4590.00,sqft,98117,888000.00
2.00,2.00,1350.00,sqft,4590.00,sqft,98117,960000.00
3.00,2.00,2160.00,sqft,4590.00,sqft,98115,825000.00
4.00,2.50,2190.00,sqft,4590.00,sqft,98136,1075000.00
4.00,2.00,1440.00,sqft,4560.00,sqft,98126,760000.00
5.00,3.50,3400.00,sqft,4560.00,sqft,98109,3340000.00
4.00,2.00,2340.00,sqft,4560.00,sqft,98103,1800000.00
4.00,3.00,2840.00,sqft,4550.00,sqft,98122,1399990.00
4.00,3.50,2304.00,sqft,4503.00,sqft,98103,1550000.00
1.00,1.00,880.00,sqft,4500.00,sqft,98122,700000.00
2.00,1.00,1250.00,sqft,4500.00,sqft,98118,500000.00
2.00,1.00,1090.00,sqft,4500.00,sqft,98118,580000.00
4.00,4.50,3610.00,sqft,4500.00,sqft,98112,2800000.00
4.00,2.50,2630.00,sqft,4500.00,sqft,98122,1340000.00
4.00,2.00,2380.00,sqft,4500.00,sqft,98144,525000.00
3.00,2.50,2860.00,sqft,4500.00,sqft,98126,1630000.00
2.00,1.00,670.00,sqft,4500.00,sqft,98106,490000.00
3.00,1.50,990.00,sqft,4500.00,sqft,98122,775000.00
4.00,3.50,2960.00,sqft,4500.00,sqft,98103,1700000.00
4.00,1.00,1850.00,sqft,4500.00,sqft,98118,600000.00
4.00,3.00,2980.00,sqft,4480.00,sqft,98105,1090000.00
3.00,1.00,1030.00,sqft,4480.00,sqft,98105,710000.00
4.00,2.50,2840.00,sqft,4480.00,sqft,98105,1200000.00
4.00,3.00,2570.00,sqft,4480.00,sqft,98105,1555000.00
4.00,2.00,1500.00,sqft,4471.00,sqft,98133,947000.00
5.00,3.00,2580.00,sqft,4462.00,sqft,98109,1500000.00
5.00,8.50,3110.00,sqft,4455.00,sqft,98115,1606500.00
3.00,2.50,2470.00,sqft,4452.00,sqft,98126,800000.00
4.00,2.00,2500.00,sqft,4414.00,sqft,98144,972500.00
3.00,2.00,1806.00,sqft,4400.00,sqft,98126,799000.00
3.00,2.00,1960.00,sqft,4400.00,sqft,98199,955000.00
3.00,2.00,2350.00,sqft,4400.00,sqft,98122,1140000.00
3.00,2.00,2354.00,sqft,4400.00,sqft,98115,938000.00
3.00,2.50,2320.00,sqft,4400.00,sqft,98116,949000.00
4.00,2.00,1640.00,sqft,4400.00,sqft,98136,730000.00
2.00,1.00,1000.00,sqft,4400.00,sqft,98112,750000.00
3.00,2.00,2370.00,sqft,4400.00,sqft,98119,1180000.00
2.00,1.00,1130.00,sqft,4388.00,sqft,98199,1180000.00
2.00,1.00,1180.00,sqft,4386.00,sqft,98106,419000.00
3.00,2.00,3190.00,sqft,4380.00,sqft,98112,2700000.00
4.00,3.00,2050.00,sqft,4362.00,sqft,98136,920000.00
8.00,4.50,3600.00,sqft,4360.00,sqft,98105,1500000.00
3.00,1.00,1660.00,sqft,4349.00,sqft,98115,749900.00
2.00,1.50,1340.00,sqft,4342.00,sqft,98115,675000.00
5.00,3.00,4040.00,sqft,4320.00,sqft,98105,1650000.00
2.00,1.00,1240.00,sqft,4317.00,sqft,98116,656500.00
3.00,2.50,2500.00,sqft,4305.00,sqft,98117,1685000.00
4.00,3.50,3190.00,sqft,4305.00,sqft,98107,2130000.00
4.00,4.00,3463.00,sqft,4304.00,sqft,98112,2050000.00
2.00,1.00,950.00,sqft,4300.00,sqft,98144,337000.00
4.00,2.00,2010.00,sqft,4275.00,sqft,98115,1100000.00
3.00,2.00,1710.00,sqft,4267.00,sqft,98133,659000.00
2.00,1.00,1760.00,sqft,4264.00,sqft,98126,550000.00
3.00,2.50,3590.00,sqft,4250.00,sqft,98103,1725000.00
2.00,1.00,1520.00,sqft,4250.00,sqft,98117,820000.00
4.00,2.00,1720.00,sqft,4242.00,sqft,98118,705000.00
2.00,1.00,720.00,sqft,4240.00,sqft,98106,525000.00
5.00,1.00,2380.00,sqft,4240.00,sqft,98136,539000.00
3.00,2.00,1440.00,sqft,4239.00,sqft,98119,1195000.00
3.00,3.00,2070.00,sqft,4227.00,sqft,98136,730000.00
4.00,2.00,1160.00,sqft,4224.00,sqft,98103,710000.00
4.00,2.00,2600.00,sqft,4224.00,sqft,98117,1098500.00
3.00,1.00,1730.00,sqft,4200.00,sqft,98103,900000.00
3.00,2.00,2600.00,sqft,4200.00,sqft,98144,1525000.00
3.00,1.00,980.00,sqft,4200.00,sqft,98119,700000.00
4.00,3.00,2860.00,sqft,4182.00,sqft,98103,1600000.00
4.00,2.00,2040.00,sqft,4178.00,sqft,98112,1175000.00
5.00,2.00,1920.00,sqft,4173.00,sqft,98118,739000.00
2.00,3.00,1740.00,sqft,4148.00,sqft,98105,1395000.00
4.00,3.50,2191.00,sqft,4120.00,sqft,98103,1394600.00
3.00,1.00,1100.00,sqft,4120.00,sqft,98106,468000.00
3.00,2.50,3100.00,sqft,4120.00,sqft,98112,2610000.00
4.00,3.50,2600.00,sqft,4101.00,sqft,98108,1060000.00
2.00,1.00,980.00,sqft,4100.00,sqft,98107,863000.00
3.00,1.50,2300.00,sqft,4100.00,sqft,98107,1125000.00
3.00,3.50,2570.00,sqft,4094.00,sqft,98105,2000000.00
4.00,3.50,2661.00,sqft,4081.00,sqft,98108,1165000.00
3.00,2.50,2620.00,sqft,4080.00,sqft,98119,1300000.00
